id,rowOrder,objid,ra,dec,size,color
Table24,23,1237679433440755772,350.87309298495416,-3.4818626750396198,1.79708028,0.9089241
Table25,24,1237679433440755777,350.88989419046504,-3.484791055640559,1.68191278,1.59005737
Table26,25,1237679433440755780,350.8615581676805,-3.512493425290744,1.59321082,2.42226028
Table27,26,1237679433440755785,350.87611829792803,-3.4889721220150127,2.04873419,2.209612
Table28,27,1237666300525019164,340.4629905486451,-0.112913118751173,7.358108,2.14493942
Table29,28,1237666300525019165,340.4604978311309,-0.117607869542851,1.51664209,0.492647171
Table30,29,1237666300525019168,340.47491399667126,-0.0499636324490699,4.137795,0.375526428
Table31,30,1237666300525019173,340.4822722718798,-0.0554780361946489,2.96952844,2.4867382
Table32,31,1237663228529737741,245.34149760903307,75.46455660359032,5.639373,1.05152893
Table33,32,1237663228529737742,245.35132770088543,75.4677510956474,2.222245,1.01292992
Table34,33,1237663228529737743,245.3353343374051,75.46752199702264,1.571521,1.28638649
Table35,34,1237663228529737747,245.43034962005805,75.46382314757369,4.63689,1.77865982
Table36,35,1237663228529737752,245.26774670590007,75.54369088627894,3.950105,1.526247
Table37,36,1237660191987597332,310.3284062571999,-1.1567829640791891,2.96974778,1.407093
Table38,37,1237660191987597339,310.3291133320311,-1.1981834189151777,1.738983,1.365406
Table39,38,1237663889954111492,20.2555971623068,-1.155053023534338,2.969953,2.2661
Table40,39,1237663889954111496,20.26191481130724,-1.0659220242208958,2.230763,1.44320107
Table41,40,1237663889954111497,20.261486171106757,-1.063468679381424,2.9013207,1.398735
Table42,41,1237663889954111499,20.259707981975335,-1.0679318842748542,2.38721418,0.683235168
Table43,42,1237663889954111501,20.261731426122992,-1.0562553515878113,1.635829,2.26648331
Table44,43,1237666209236910106,249.85633259405657,28.5849327444692,2.96980476,0.312349319
Table45,44,1237666209236910113,249.86274198500348,28.59993824929802,2.96980476,-0.324241638
Table46,45,1237666209236910116,249.83460918079768,28.574086308612408,2.34106731,0.154857635
Table47,46,1237666209236910119,249.8739438757192,28.625109816406837,1.85389626,1.84511185
Table48,47,1237666209236910120,249.84947524427852,28.555945734085967,1.2475282,3.34091949
Table49,48,1237666209236910121,249.8749512933041,28.59065707876037,1.5804534,1.02750206
Table50,49,1237666209236910122,249.83639046827835,28.571403664012745,1.5267669,2.01421356
Table51,50,1237666209236910126,249.8831814518412,28.60132504545601,1.42181408,1.211895
Table52,51,1237666209236910127,249.8787735660183,28.62788521323873,1.43739843,1.08671951
Table53,52,1237660750333018146,66.24847685483228,22.69875086859189,2.97027373,8.544697
Table54,53,1237660750333018152,66.24211350465838,22.700475850180688,2.97027373,0.874778748
Table55,54,1237660750333018154,66.24141051399538,22.70345496701108,2.97027373,0.7791443
