objid,ra,dec,size,color
1237651494678495245,112.553015206092,33.8773005118866,10.30824,0.6117029
1237651494678495251,112.554271448717,33.877260286847,9.572809,0.5555286
1237664972285870293,232.659627093846,24.1321130030505,11.07937,0.6919708
1237661957218828458,193.655904832215,51.0360884245887,7.806363,1.720053
1237664972285870331,232.553728794124,24.1464356726139,7.359538,1.607264
1237664972285870346,232.62750234379,24.2384738168838,11.30682,2.302958
1237664972285870348,232.627047609501,24.2397282969223,7.359538,0.939539
1237651494678495459,112.528341411093,34.0234545211126,27.92278,1.487049
1237654187634196917,172.646365790643,-0.996091295456516,18.01865,1.617815
1237654187634196922,172.651734748543,-1.14598873148117,7.358911,1.70512
1237654187634196930,172.671428368809,-1.09295406801107,6.975015,1.856455
1237657584942449042,22.5173252311495,-1.01635109016616,7.359112,-0.252285
1237661957218828618,193.61836311282,51.1202538462231,11.30618,3.617416
1237661957218828627,193.606700090486,51.0254268845879,7.359121,0.5516911
1237656850502713645,343.442756646963,-0.920318267313171,7.358536,1.282228
1237663228529738243,245.709881489711,75.5136918558358,7.358841,0.4776173
1237645876861272653,336.471306862654,-1.02882979700045,7.35686,1.630674
1237650004324844289,326.085200172045,-1.20376493127618,18.02406,0.5018387
1237650004324844290,326.087495641662,-1.16956031216844,7.36112,1.140636
1237657584942449363,22.4320284684891,-0.869971508588569,11.30616,1.435612
1237680263996113662,350.356807760913,-7.02460873765984,68.29343,0.287693
1237680263996113663,350.356933729306,-7.0481292498145,11.3041,1.482185
1237661957218829060,193.713901584701,51.067517908925,7.359121,1.723059
1237671930132890402,158.448654293642,7.98351390424474,18.01542,1.126234
1237679433440821457,351.114963028095,-3.55005639808538,7.360523,1.4324
1237679433440821464,351.138272476444,-3.50932549919734,166.5504,0.7904816
1237663228529803590,246.224809948612,75.6147116677267,5.584293,0.6640778
1237662695954514724,216.619819661716,31.8833898282762,7.358984,1.130392
1237662695954514728,216.660276735656,31.9750606168528,27.92091,2.420729
1237662695954514732,216.616606156393,31.8573533132991,18.01883,1.996328
1237654187634327574,172.89100064981,-1.01094654036183,5.488666,1.562124
1237669516361270447,344.254143166926,5.93294876839298,43.76435,0.3004742
1237654187634327601,172.964968980907,-0.945448382922311,43.77254,1.948462
1237661351628505415,164.683082023866,54.5836768958529,7.35933,1.978556
1237662695954514920,216.535486582177,31.884643224628,7.358984,1.373627
1237662695954514923,216.67662075128,31.9378894491327,43.76844,1.726171
1237656850502778986,343.674586020788,-0.9175859800917,7.358258,2.689978
1237661957218894083,194.013451608245,51.0528771969855,6.153171,0.4632282
1237661957218894099,194.067247604238,51.0869600977941,27.92252,0.6443214
1237660750333019749,66.2230999097443,22.7370113679231,7.359955,0.9285583
1237660750333019751,66.2953765678062,22.7376262043396,18.02121,1.94449
1237660750333019755,66.3500968345586,22.7422599733397,7.359955,0.3843441
1237664972286001205,232.931107043628,24.0719793476846,6.576331,0.7465763
1237671066844464711,22.2741107291041,38.1823906857044,7.359258,3.240557
1237671066844464717,22.2195878279724,38.2575190465618,18.0195,0.9038773
1237666209236976134,250.03113549768,28.5673761723867,11.88001,1.064013
1237666209236976138,250.029571499785,28.5640536756107,68.30749,1.972404
1237666209236976142,250.042075440631,28.602678384103,43.77022,0.6523037
1237652929198556223,309.082425134806,-6.76255177395883,6.878026,0.7897682
1237659234211530140,254.063487866202,-0.971489295768274,18.01754,0.8808975
1237666300525085385,340.673053153758,-0.0760837312629073,7.358091,1.719746
1237661957218894462,194.033439051278,51.0101722739717,7.359409,0.4231319
1237669516361335607,344.530270945845,5.83238476599897,7.358622,0.6567001
1237666492704359329,327.773340650075,-0.855354466347306,11.30326,2.107641
1237661351628570861,164.994814552037,54.6292103454343,5.653147,0.6853237
1237661351628570867,165.015329902181,54.6668422565221,5.276098,0.2842045
1237656850502779827,343.576466991376,-1.01483079915642,43.76412,-0.2058067
1237662695954580389,216.65317342796,31.8381665927995,11.30483,1.412865
1237671930133020687,158.721797930183,8.0644435330968,7.944672,1.310861
1237671930133020693,158.721914219851,8.05930210722161,17.01446,1.293298
1237671930133020694,158.721808777554,8.06922649536216,9.297348,7.436531
1237671930133020698,158.715142604575,8.06393663396508,5.832819,5.010929
1237671930133020701,158.765228391617,8.0599449305593,27.92195,7.715944
1237661351628571213,164.959926710915,54.6369292343892,7.357207,1.299126
1237661351628571216,164.910200320158,54.7394241252739,7.357207,1.338728
1237666300525150774,340.707745323009,-0.193907387123963,11.30326,1.017149
1237678578742330498,329.207441396544,19.5676251626698,5.581076,0.6435814
1237658222745355564,82.9763558266941,0.676136876592257,11.30409,1.524075
1237662695954645654,216.976691654253,31.7789849390533,7.357577,0.2212543
1237666492704424773,327.922737128306,-0.84221150639281,7.360176,1.026281
1237679433441083521,351.639191807698,-3.50138770522937,258.4184,1.223166
1237680263996309861,350.811173798367,-6.89987889959532,11.30795,1.315351
1237680263996309863,350.807446553082,-7.04624856564313,7.360272,0.7470989
1237662695954646059,216.989806033898,31.9468733081136,7.357577,1.192202
1237662695954646063,216.91393445647,31.7516862436859,7.357577,2.599205
1237668330950951334,212.511574098633,14.6934525695733,6.06432,1.907719
1237661351628701902,165.518621657017,54.7967935034167,7.357635,0.5307541
1237661351628701913,165.550973229279,54.8041212553298,27.91579,0.5796261
1237661351628701917,165.590820129638,54.7660144438946,5.353238,0.2740993
1237673708786287466,121.24637873164,-9.05487377264431,5.599234,0.7957172
1237678845030302930,314.303416687034,5.2140882199555,7.772425,0.8769398
1237666209237106940,250.403373280316,28.5458311294831,6.187121,0.7994995
1237666209237106952,250.415077469145,28.5683044474953,5.941971,1.68446
1237655549129392747,238.988639651305,-0.972734778315768,9.030203,0.4872875
1237671066844594594,22.3574339793714,38.5010712521147,5.007231,0.8796024
1237663889954373814,20.9522255633368,-1.20297047571385,5.993117,1.389296
1237663889954373958,20.8613039758381,-1.05540273812102,7.357864,1.425318
1237663889954373963,20.8665459104728,-1.20035419099553,7.357864,0.6023083
1237663889954373977,20.8728052403051,-1.24974129441891,7.357864,1.082878
1237656850502975785,344.016322018909,-0.988186892286415,11.30383,2.740377
1237679433441149218,351.86459790844,-3.64351549213102,5.748945,0.3036709
1237664972286198160,233.372366406959,23.8271910909877,7.357468,1.588079
1237664972286198165,233.35863661666,23.797241636859,7.113287,1.302525
1237679433441149226,351.894397346269,-3.53527415243126,9.031922,0.5205898
1237661957219025784,194.514480636591,50.9742617488239,7.36001,1.291059
1237680263996375637,350.990363277447,-6.86380536469414,7.359055,1.35515
1237680263996375643,350.992334264162,-6.89440356457885,7.359055,1.635315
1237680263996375647,350.993107936498,-6.98868045101213,7.359055,0.7005882
1237680263996375648,350.990975863665,-7.06852370762368,7.359055,1.551737
1237680263996375655,350.998260847654,-6.97655457523737,11.30608,1.31822
1237678845030303655,314.200490624998,5.1578790534657,7.357644,2.33083
1237654187634786561,173.98804239214,-1.11721026384649,7.359676,1.842236
1237654187634786571,173.997315327008,-1.06986727056946,11.30703,1.606407
1237654187634786581,174.009031499818,-1.00562265680806,7.359676,1.209969
1237645876861535175,337.042568196431,-0.872136943312463,11.30054,0.327034
1237645876861535179,337.050756384097,-0.852140287224514,7.355452,1.195566
1237645876861535181,337.056971280361,-0.950513356706125,43.74744,1.128647
1237645876861535185,337.064494087464,-0.902469421745022,43.74744,1.402124
1237645876861535187,337.069754409753,-1.00858946425844,11.30054,0.3022633
1237680263996440597,351.112632856541,-6.96214629884385,6.597623,0.8554211
1237663889954439195,21.0585478907955,-1.25544200417744,6.356339,0.7869968
1237662305648247491,202.278979530363,40.4575539253604,7.359369,0.207552
1237661351628767534,165.62147856681,54.8656904281925,7.356921,-0.04730034
1237657584942776784,23.2731457402281,-0.901798480999126,6.767002,0.6514072
1237657584942776787,23.2746491544273,-0.885051847762276,7.35891,0.2324543
1237661351628767674,165.81573181655,54.7994282237516,7.356921,0.8656158
1237661351628767679,165.826028515666,54.7780308974088,7.356921,2.92478
1237664972286263565,233.489407567388,23.8735396352722,11.3072,0.2560596
1237664972286263574,233.481102910424,23.8238423450259,7.359788,3.575373
1237661351628767687,165.812694583186,54.8336153749788,5.319053,0.8277588
1237654187634917472,174.352873688358,-0.96381538799426,7.840778,0.6110058
1237662695954776693,217.233036371022,31.7041269351363,7.358522,1.106798
1237662695954776698,217.228560642608,31.6909381815696,18.0177,0.5500851
1237663480321673224,308.506427078444,0.874539533407324,5.448946,1.958321
1237663889954439613,21.0523259426988,-1.08257352132648,7.358235,1.724297
1237671930133152713,159.114851256206,8.13868784942842,7.359143,1.333952
1237663228530066153,248.42073323754,75.8404496344607,7.358832,2.82062
1237650004325106633,326.643209612887,-1.17029442010257,7.359525,0.8269825
1237650004325106642,326.653201840704,-1.175542073281,7.359525,1.679256
1237650004325106646,326.655048962196,-1.25818913361898,27.92296,-1.316847
1237665427552731154,194.348023140412,28.8033504021533,5.935683,1.214046
1237668330951082407,212.752334089882,14.6000882221298,6.171737,0.4492493
1237668330951082424,212.766223563203,14.6290586561964,5.101109,0.6490192
1237655549129458431,239.115804848476,-0.954969378591449,7.357682,0.5790501
1237663228530066351,247.899749099613,75.8883093539267,11.30574,-1.961689
1237663228530066360,248.03900801783,75.8394219042721,7.358832,0.4062233
1237650004324843659,326.108834865257,-1.17138905445627,27.92901,-0.01736069
1237674893660323927,304.153260096802,29.6737385378003,11.30557,2.40114
1237654866228281484,118.442326692035,-1.86385317841544,27.92255,0.09477997
1237663889954111885,20.2982750281708,-1.09965512536498,18.01926,0.6383152
1237680263996113449,350.452664568675,-7.02020494272385,7.357767,0.8908195
1237680263996113453,350.453909601528,-6.99706444231551,11.3041,0.1222572
1237660191987597570,310.383304613897,-1.14968388105526,7.358652,3.851027
1237680263996113645,350.337019344712,-6.87296740534325,11.3041,0.05966377
1237680263996113647,350.338719710488,-6.87931799375483,7.357767,1.529455
1237680263996113649,350.345619185154,-6.95883522080045,11.3041,1.633339
1237680263996113657,350.356978181333,-6.87410396442769,7.357767,2.58217
1237645876861272673,336.487777665032,-1.03310760795954,7.35686,2.078932
1237645876861272691,336.499961921393,-1.01255015995533,7.35686,0.7241688
1237671930132890217,158.503534425361,8.02261120852931,11.30383,0.5886288
1237671930132890233,158.509533151756,8.01328297751122,18.01542,0.7968922
1237654187634262297,172.855689314576,-1.13247484428351,8.462419,2.902603
1237654187634262303,172.872974416765,-1.04325459607595,11.16742,0.6167431
1237654187634262309,172.872979128222,-1.10962878714047,11.30743,-0.3517952
1237654187634262310,172.874988422269,-1.05755326208214,68.31355,1.368113
1237666492704293721,327.595211429023,-1.00214534603894,7.358155,0.7493343
1237666492704293722,327.596746018252,-0.927413000789247,7.358155,1.372871
1237666492704293732,327.603222535133,-0.920682010797298,11.30469,3.978956
1237655549129261889,238.607409136803,-0.986201141566657,7.35934,1.658432
1237665427552404428,193.469484841073,28.8365654533614,11.30813,2.268534
1237652929198555825,309.115469485264,-6.80988600127467,11.30614,11.63037
1237667725360038180,82.7724496117697,9.20922164695966,106.7273,-0.1524563
1237645876861337900,336.664170675682,-0.889320487594694,7.357122,0.9542713
1237654187634327747,172.907792180123,-1.01944760585983,6.04747,0.8815174
1237654187634327753,172.913430755818,-1.05364076927199,5.060995,0.6962013
1237654187634327755,172.913703268679,-1.12172393196552,8.200882,1.605755
1237654187634327756,172.91626781325,-1.11967010064387,8.748487,1.845654
1237658222745290065,82.7649517827957,0.719990858504606,7.360177,0.8944702
1237662305648051362,201.550427562228,40.4504723662637,43.77018,1.094675
1237666300525085150,340.661171774488,-0.082652860705027,6.751847,1.445028
1237666300525085163,340.668063247831,-0.0684389041133237,7.358091,0.8904572
1237666492704358687,327.708352176305,-0.976830339559096,6.970062,1.160391
1237669516361334977,344.401954218162,5.93010228102387,11.30541,2.679003
1237668330950820220,212.098467485595,14.7747920988527,7.358715,0.5071259
1237668330950820222,212.09437367676,14.7427746921714,5.623973,1.809296
1237666300525085348,340.647285068247,-0.110029924480682,7.358091,3.26358
1237666300525085351,340.648632467025,-0.114490380640979,7.358091,1.086826
1237662695954579758,216.737638276437,31.9856031083931,7.358246,0.6977234
1237664972286001573,232.887325242007,24.0897893321812,7.360575,1.397797
1237657584942580234,22.7529452272425,-1.03196801959242,7.359328,0.8604984
1237657584942580240,22.7575517834335,-0.978574144309759,7.359328,1.60825
1237657584942580241,22.7581883434124,-0.852634839356442,7.359328,0.707983
1237671930132955950,158.65884058922,7.99735082196386,7.35826,1.305243
1237661351628570756,165.14962049926,54.6560864203374,6.562196,1.208529
1237661351628570757,165.16419944012,54.655892023518,7.729995,0.7650452
1237666492704423982,327.842519250998,-1.00900330945859,18.82403,0.4447336
1237666492704423983,327.838281197268,-1.00564451151876,18.02175,0.7110462
1237680263996244421,350.703417437958,-6.85822005148429,7.360472,0.6403637
1237663228529869683,246.911947307366,75.6231438361138,7.359879,0.4370193
1237663228529869690,246.702238823103,75.7381769165835,7.359879,1.85146
1237663228529869694,246.977404991081,75.6360725282485,11.30734,1.454891
