id,rowOrder,objid,ra,dec,size,color
Table520,519,1237666300525019343,340.4217090190392,-0.2095404300608725,5.360586,0.7473469
Table548,547,1237667725359907050,82.77038272778465,9.510229726878146,7.35821867,0.668026
Table551,550,1237665427552403576,193.50247809937983,28.793998032412752,3.94358587,0.494812
Table559,558,1237667205668864187,71.15092135540145,56.9007552775225,3.25525761,-2.38705063
Table570,569,1237663889954111697,20.24795226378734,-1.2269401961073292,5.5144763,0.7737522
Table573,572,1237663889954111702,20.2542129544068,-1.210212848603574,4.8527317,0.6353798
Table576,575,1237663889954111706,20.25639436956164,-1.2428632258554744,3.02214885,0.7968712
Table577,576,1237663889954111707,20.258277145752743,-1.1596621662503248,4.433461,0.29094696
Table578,577,1237668330950754384,211.9148048546525,14.731969290081723,5.21904564,0.52381897
Table579,578,1237668330950754392,211.92868926426948,14.783205516729632,6.863136,0.486751556
Table586,585,1237661351628439649,164.49108740895576,54.52228881551415,11.30615,0.135110855
Table595,594,1237661351628439668,164.44184013548497,54.6504174757611,68.30582,-1.05719185
Table605,604,1237658222745288898,82.78161349609125,0.8114126400780467,18.0217514,0.607103348
Table610,609,1237660750333018393,66.41320680182591,22.811641833826897,3.2286768,0.6824646
Table612,611,1237660750333018396,66.399709014748,22.81540937553816,43.77422,0.784793854
Table615,614,1237660750333018400,66.4401172260039,22.812316562190468,43.77422,-1.110178
Table633,632,1237663889954111709,20.26000660025511,-1.1029234774306982,3.62311816,0.36812973
Table636,635,1237663889954111717,20.263894273174746,-1.121043468154839,11.3062391,0.545066833
Table637,636,1237663889954111720,20.26993519539991,-1.2421254409624427,3.23364186,0.733551
Table638,637,1237663889954111725,20.2869173823334,-1.1168233779022008,3.412117,0.568330765
Table668,667,1237658222745288847,82.76978168931606,0.6916053517565921,5.21861172,0.4929638
Table674,673,1237665427552403531,193.57823295492864,28.76923684534841,3.95304942,0.639942169
Table678,677,1237662305648050279,201.64745294875405,40.616370138346014,3.04240775,0.684412
Table684,683,1237645876861272146,336.5621172818364,-1.0352852460526136,4.58267069,-0.06330109
Table685,684,1237678578742264074,328.9727926414796,19.47438423160404,4.25309753,0.481952667
Table696,695,1237669516361269534,344.3403506247073,5.858993336641915,4.000126,0.680612564
Table700,699,1237669516361269543,344.3433111916348,5.826892902880646,3.51880145,0.624712
Table707,706,1237662305648050362,201.7043299737664,40.49934362120543,4.815313,0.850072861
Table728,727,1237663889954111791,20.246165125826625,-1.1374218872806787,3.13100171,0.5898857
Table729,728,1237663889954111792,20.246692077010778,-1.1558451310171116,7.35916042,0.4533615
Table753,752,1237680263996113127,350.35343573208854,-6.871592649632819,7.357767,-0.4818344
Table754,753,1237680263996113132,350.3763096793589,-6.95274540873051,3.805154,0.5847492
Table773,772,1237668330950754412,211.9530441672364,14.830032869407706,4.954199,0.714115143
Table780,779,1237663889954111771,20.394643351266097,-1.0996319948549067,4.58410358,0.423753738
Table787,786,1237658222745288985,82.8221769086299,0.8277268513291682,3.71837735,0.7428837
Table795,794,1237679433440755973,350.8905772239723,-3.5421003561059865,4.12916327,0.7117901
Table799,798,1237679433440755983,350.89668737014404,-3.516519342000291,6.81657553,0.7716255
Table802,801,1237679433440755987,350.90251929187986,-3.594095170519193,3.036937,0.309608459
Table804,803,1237658222745289005,82.82523959093477,0.6730297742069247,4.33150244,0.8902302
Table810,809,1237666300525019435,340.5361514236115,-0.1798531710674896,3.02311349,0.6841183
Table817,816,1237679433440755925,350.9553609204063,-3.596468544253644,3.484505,0.5947895
Table825,824,1237661957218828395,193.66774127873865,50.95154478385598,4.159287,0.7380848
Table828,827,1237661957218828407,193.73506596222683,51.026596960253535,5.472601,0.3568306
Table829,828,1237657584942448800,22.40291163809181,-0.903152714543415,3.6570425,0.442182541
Table855,854,1237666492704293143,327.53263989131824,-1.0240516184445851,4.115338,0.8903694
Table860,859,1237680263996113141,350.45762349313964,-6.9103963754337645,3.187742,0.686224
Table882,881,1237654866228281615,118.45682791608571,-2.0324979065562805,4.458199,-1.33472157
Table904,903,1237656850502713383,343.46248479076206,-0.870915116573762,4.583715,0.2086525
Table905,904,1237663228529737906,245.62178326637104,75.45003056977255,3.36031246,0.6686783
Table911,910,1237673708786221274,121.03015752544452,-9.185502658565452,11.7404079,0.118133545
Table915,914,1237671930132889699,158.50600627019344,8.061686998993611,23.5215664,0.303966522
