id,rowOrder,objid,ra,dec,size,color
Table91,90,1237654187634196551,172.6374,-1.083073,7.358911,3.943859
Table92,91,1237679433440755727,350.8556,-3.476404,1.818625,1.451958
Table93,92,1237679433440755729,350.8889,-3.497245,1.87843,1.602884
Table94,93,1237679433440755734,350.8792,-3.479206,5.140607,1.218504
Table95,94,1237679433440755736,350.8509,-3.499975,258.4144,2.915569
Table96,95,1237671066844463143,22.17138,38.17725,6.320961,0.7628956
Table97,96,1237671066844463144,22.16468,38.18018,10.36281,1.802841
Table98,97,1237671066844463146,22.16751,38.17451,1.452664,2.188608
Table99,98,1237671066844463147,22.16858,38.1813,1.201432,2.291681
Table100,99,1237671066844463149,22.16011,38.1788,2.969993,1.127537
Table101,100,1237667725359906891,82.92384,9.52348,3.095625,6.045826
Table102,101,1237667725359906895,82.92804,9.517893,2.969573,11.49104
Table103,102,1237667725359906898,82.91972,9.513517,24.83768,7.350462
Table104,103,1237667725359906904,82.91753,9.51242,35.55331,13.09896
Table105,104,1237662695954513926,216.5052,31.915,1.839001,0.6159782
Table106,105,1237662695954513927,216.4985,31.91235,1.201728,0.5886822
Table107,106,1237662695954513929,216.5034,31.91303,1.950153,1.468019
Table108,107,1237662695954513930,216.504,31.91069,2.969882,-0.4698849
Table109,108,1237662695954513931,216.4949,31.91377,2.969882,1.093693
Table110,109,1237663889954111530,20.30178,-1.203406,2.468209,0.4281082
Table111,110,1237667205668864036,71.32439,56.73136,2.126538,0.7991791
Table112,111,1237650004324843570,326.0449,-1.270493,3.69817,1.180323
Table113,112,1237666492704292940,327.624,-1.038263,14.25416,6.799377
Table114,113,1237666492704292951,327.6422,-0.8605271,2.969547,0.5299835
Table115,114,1237666492704292952,327.6489,-0.8538148,1.884759,1.753136
Table116,115,1237662305648050182,201.5575,40.46191,0.9854335,2.182604
Table117,116,1237662305648050183,201.5534,40.45745,3.317097,0.6724987
Table118,117,1237662305648050193,201.6689,40.63419,0.9350037,-0.3468781
Table119,118,1237662305648050194,201.6691,40.63204,2.97,-0.2934971
Table120,119,1237665427552403468,193.4635,28.80398,27.92624,2.457222
Table121,120,1237665427552403476,193.4692,28.74205,7.360389,2.074539
Table122,121,1237665427552403477,193.4676,28.73814,0.6218763,-0.004085541
Table123,122,1237666492704292882,327.5449,-0.914982,27.91776,0.9204979
Table124,123,1237666492704292887,327.5447,-0.9430941,4.786242,1.853239
Table125,124,1237669516361269278,344.2578,5.802454,2.199682,8.026119
Table126,125,1237669516361269279,344.2574,5.802549,2.604433,10.8837
Table127,126,1237669516361269280,344.2565,5.802614,2.969604,-2.95776
Table128,127,1237669516361269285,344.2642,5.884832,1.097736,0.5899277
Table129,128,1237669516361269286,344.2628,5.883395,7.358296,0.8694172
Table130,129,1237669516361269293,344.2828,5.84623,7.358296,2.295382
Table131,130,1237666300525019146,340.4116,-0.09934232,1.27179,1.802767
Table132,131,1237666300525019150,340.4219,-0.005032484,11.30462,6.745695
Table133,132,1237654187634196489,172.5927,-1.058946,5.817585,0.4793005
Table134,133,1237654187634196501,172.6071,-1.119316,5.41451,0.7099743
Table135,134,1237652929198555159,308.9855,-6.855884,3.97577,-3.151129
Table136,135,1237668330950754312,211.9888,14.78965,3.250003,1.33526
Table137,136,1237668330950754319,211.9973,14.81177,1.26156,0.9654312
Table138,137,1237668330950754320,211.9933,14.81383,1.929485,1.256723
Table139,138,1237654187634196507,172.6024,-1.060443,6.703959,1.34668
Table140,139,1237654187634196516,172.6046,-1.075529,2.296615,2.701071
Table141,140,1237667725359906871,82.9012,9.528708,1.351547,2.462399
Table142,141,1237667725359906882,82.78822,9.513535,0.09437238,1.03013
Table143,142,1237667725359906883,82.7981,9.511757,25.58196,1.547256
Table144,143,1237646798131757068,107.8973,0.8415992,1.528785,0.8063536
Table145,144,1237661957218828296,193.5959,51.05582,1.730322,1.160044
Table146,145,1237661957218828300,193.6092,50.93796,4.464711,1.554436
Table147,146,1237661957218828307,193.6596,50.92919,0.5401837,-0.04805756
Table148,147,1237661957218828311,193.7037,51.06959,1.871984,1.416231
Table149,148,1237664972285870083,232.579,24.2525,3.949882,0.9608746
Table150,149,1237664972285870087,232.5821,24.25123,2.795774,1.090998
Table151,150,1237664972285870098,232.5528,24.17869,7.359538,1.934978
Table152,151,1237666492704292932,327.625,-0.8405058,2.599969,1.215525
Table153,152,1237678578742263861,329.035,19.41526,2.969794,0.321331
Table154,153,1237645876861272071,336.4396,-0.8372055,17.07205,0.3164454
Table155,154,1237645876861272078,336.4398,-0.8427505,2.969025,0.2861099
Table156,155,1237679433440755737,350.849,-3.498118,1.655343,1.556904
Table157,156,1237679433440755742,350.892,-3.504973,1.603551,1.019072
Table158,157,1237679433440755744,350.8572,-3.486548,1.838822,4.832697
Table159,158,1237679433440755751,350.8839,-3.508194,1.19302,1.773458
Table160,159,1237679433440755752,350.8934,-3.513014,1.025662,1.21426
Table161,160,1237679433440755755,350.8525,-3.526023,1.669732,0.739502
Table162,161,1237666209236910131,249.8461,28.6088,1.421066,1.145689
Table163,162,1237666209236910139,249.8813,28.61751,1.627224,0.293066
Table164,163,1237666209236910149,249.8895,28.60227,1.708337,0.5018406
Table165,164,1237666209236910150,249.8555,28.62467,5.780053,2.551178
Table166,165,1237660750333018176,66.36263,22.69939,2.970274,-0.8877239
Table167,166,1237660750333018178,66.36708,22.71293,2.970274,0.4120407
Table168,167,1237651494678495245,112.553,33.8773,10.30824,0.6117029
Table169,168,1237651494678495251,112.5543,33.87726,9.572809,0.5555286
Table170,169,1237671930132889612,158.3752,8.084247,1.418245,2.233986
Table171,170,1237671930132889624,158.4053,8.000542,1.497,0.5653801
Table172,171,1237667725359906823,82.96871,9.562451,1.185276,1.446333
Table173,172,1237667725359906825,82.80048,9.549903,1.943913,0.7198
Table174,173,1237667725359906835,82.93981,9.548121,2.969573,0.6829815
Table175,174,1237667725359906841,82.75705,9.546963,1.428294,0.2234211
Table176,175,1237680263996112932,350.3936,-6.905255,1.623842,1.471527
Table177,176,1237680263996112936,350.4006,-6.903674,2.969391,-0.4853611
Table178,177,1237680263996112943,350.4279,-7.022682,2.969391,0.980875
Table179,178,1237671066844463156,22.36045,38.15427,1.245064,0.7348633
Table180,179,1237671066844463170,22.1711,38.19226,1.698899,2.704857
Table181,180,1237671066844463178,22.23051,38.19476,1.399592,-0.435957
Table182,181,1237663889954111565,20.30752,-1.124403,2.969953,0.2463474
Table183,182,1237671066844463179,22.22514,38.19264,1.4331,1.614244
Table184,183,1237671066844463180,22.2241,38.19196,1.075011,3.660568
Table185,184,1237671066844463184,22.23137,38.20016,2.969993,1.091965
Table186,185,1237671066844463187,22.2328,38.201,2.969993,-0.6206646
Table187,186,1237671066844463188,22.22485,38.19987,2.969993,-1.867258
Table188,187,1237671066844463202,22.3438,38.19152,1.474773,1.335089
Table189,188,1237666209236910206,249.8817,28.6933,1.705389,1.53084
Table190,189,1237666209236910207,249.8792,28.70514,1.632777,1.801775
Table191,190,1237666209236910208,249.8994,28.70175,1.538766,2.264771
Table192,191,1237666209236910209,249.8901,28.70785,1.610668,1.25841
Table193,192,1237666209236910212,249.8954,28.69981,1.558053,0.5963764
Table194,193,1237666209236910213,249.8991,28.69929,1.242802,1.863186
Table195,194,1237666209236910215,249.9059,28.69784,1.317153,3.004297
Table196,195,1237666209236910216,249.8845,28.69682,1.411442,1.47263
Table197,196,1237666209236910217,249.9093,28.69213,1.317707,1.708593
Table198,197,1237666209236910218,249.8737,28.69889,0.9582072,1.43907
Table199,198,1237666209236910219,249.9075,28.67457,1.644128,0.6935425
Table200,199,1237666209236910220,249.8931,28.68859,1.528569,1.949003
Table201,200,1237666209236910221,249.9147,28.68572,1.286162,1.255978
Table202,201,1237666209236910223,249.8875,28.71031,1.674905,0.5922318
Table203,202,1237666209236910224,249.9112,28.70277,1.769649,0.6990452
Table204,203,1237666209236910225,249.9122,28.69309,1.560024,1.295712
Table205,204,1237666209236910227,249.8795,28.69396,1.393135,1.853558
Table206,205,1237666209236910228,249.8838,28.68037,1.146469,1.951242
Table207,206,1237663228529737756,245.6188,75.40924,3.63676,1.171186
Table208,207,1237663228529737761,245.3036,75.56184,1.623947,1.269308
Table209,208,1237663228529737762,245.284,75.56455,2.969824,1.820793
Table210,209,1237663228529737768,245.6384,75.43337,1.66807,1.649345
Table211,210,1237663228529737769,245.655,75.4288,2.969824,-0.3309669
Table212,211,1237663228529737771,245.6686,75.43805,2.969824,-0.6533966
Table213,212,1237663228529737776,245.5634,75.4677,0.705871,-0.6974316
Table214,213,1237663228529737777,245.5721,75.47283,1.83932,4.04022
Table215,214,1237678578742263946,329.0813,19.45782,1.628581,0.8911209
Table216,215,1237678578742263948,329.0708,19.453,1.381456,0.7618122
Table217,216,1237671066844463233,22.27147,38.23233,1.017107,0.6992912
Table218,217,1237671066844463234,22.27869,38.22629,1.003751,1.528992
Table219,218,1237671066844463235,22.27143,38.23055,0.7333208,1.255217
Table220,219,1237671066844463237,22.27919,38.22869,1.223034,1.001741
Table221,220,1237671066844463239,22.2803,38.23636,2.969993,0.6379299
Table222,221,1237671066844463241,22.27406,38.22836,2.969993,0.6208706
Table223,222,1237662305648050227,201.5654,40.55741,1.265332,0.2596779
Table224,223,1237662305648050231,201.5573,40.51183,2.283085,1.755951
Table225,224,1237662305648050235,201.5526,40.46949,1.853166,0.40798
Table226,225,1237662305648050242,201.6053,40.63029,1.578504,0.730938
Table227,226,1237662305648050247,201.6,40.62442,0.9928232,0.5783901
Table228,227,1237662305648050248,201.6002,40.62582,1.69598,0.3273716
Table229,228,1237667725359906935,82.88406,9.548076,5.463662,1.268936
Table230,229,1237679433440755811,350.8709,-3.62934,3.509984,0.7215767
Table231,230,1237669516361269347,344.3854,5.962418,1.81678,1.088577
Table232,231,1237669516361269351,344.384,5.963601,1.0845,0.7355576
Table233,232,1237669516361269352,344.3825,5.970031,1.572403,1.392027
Table234,233,1237669516361269354,344.3847,5.974036,2.969604,1.389217
Table235,234,1237669516361269356,344.3842,5.967154,1.657018,0.6246967
Table236,235,1237669516361269359,344.3853,5.965137,2.969604,1.043095
Table237,236,1237654187634196583,172.7126,-0.9757556,1.58699,0.3704128
Table238,237,1237654187634196586,172.7176,-0.9759995,1.492614,4.681795
Table239,238,1237654187634196588,172.7022,-0.9938185,1.632405,5.185709
Table240,239,1237654187634196591,172.7022,-0.981854,1.838779,0.426054
Table241,240,1237654187634196596,172.6925,-0.9675438,1.385671,4.727127
Table242,241,1237654187634196597,172.7163,-1.028057,1.676052,2.977947
Table243,242,1237654187634196598,172.7132,-0.9958878,1.16258,0.7935715
Table244,243,1237654187634196603,172.7244,-0.9956094,2.969852,1.235859
Table245,244,1237654187634196606,172.7263,-1.020829,1.342972,1.873905
Table246,245,1237663889954111629,20.32852,-1.103527,3.549921,0.6455898
Table247,246,1237663889954111630,20.32649,-1.101001,1.795705,1.246107
Table248,247,1237663889954111631,20.32165,-1.102306,7.35916,1.501537
Table249,248,1237663889954111632,20.32066,-1.102272,2.316958,0.5860062
Table250,249,1237663889954111633,20.3227,-1.103676,1.486229,1.210882
Table251,250,1237654187634196611,172.719,-0.9628213,1.110093,1.668583
Table252,251,1237654187634196612,172.711,-1.023645,1.680832,2.006779
Table253,252,1237654187634196613,172.7008,-0.972619,1.017221,3.128723
Table254,253,1237654187634196616,172.7073,-1.004714,2.969852,0.6167011
Table255,254,1237654187634196630,172.7011,-1.010387,1.497146,5.154682
Table256,255,1237666209236910190,249.8652,28.67773,11.6309,1.32506
Table257,256,1237666209236910191,249.9069,28.67933,5.304811,1.122221
Table258,257,1237666209236910193,249.9177,28.68569,4.324909,1.518719
Table259,258,1237666209236910195,249.9003,28.67288,4.681679,1.64168
Table260,259,1237666209236910197,249.9155,28.67822,1.533615,3.310413
Table261,260,1237666209236910200,249.9022,28.68423,1.806921,1.253862
Table262,261,1237666209236910201,249.8702,28.6754,7.358793,0.7032757
Table263,262,1237666209236910204,249.9149,28.70558,1.431357,1.443012
Table264,263,1237666300525019234,340.4164,-0.1266814,0.4986076,1.181429
Table265,264,1237666300525019240,340.4252,-0.136934,3.419758,0.8766785
Table266,265,1237666300525019255,340.43,-0.01924267,3.272386,0.224287
Table267,266,1237663228529737788,245.6893,75.43694,2.380912,1.454103
Table268,267,1237663228529737793,245.5287,75.5332,2.969824,0.5690022
Table269,268,1237663228529737796,245.5017,75.53309,2.969824,-1.214914
Table270,269,1237663480321605708,308.3236,0.9984875,0.8029177,1.071255
Table271,270,1237678578742263982,329.1114,19.42604,1.93891,0.8136921
Table272,271,1237678578742263983,329.1082,19.42819,1.454126,1.363621
Table273,272,1237678578742263996,329.0925,19.45903,1.591473,1.818605
Table274,273,1237678578742263998,329.0951,19.44899,2.969794,1.794636
Table275,274,1237660750333018248,66.26571,22.74954,1.258095,1.265633
Table276,275,1237660750333018252,66.35065,22.7583,3.655178,2.089422
Table277,276,1237659234211528752,253.9725,-1.152511,6.4528,1.162572
Table278,277,1237667205668864164,71.24179,56.82261,3.797836,1.820829
Table279,278,1237667725359907014,82.87287,9.511867,68.29762,0.2393684
Table280,279,1237663480321605677,308.3132,0.9867222,2.969788,0.6266422
Table281,280,1237658222745288761,82.73078,0.7731265,3.408539,1.062046
Table282,281,1237661351628439641,164.429,54.56955,2.666879,1.605612
Table283,282,1237661351628439648,164.4888,54.52385,3.096369,0.376379
Table284,283,1237669516361269323,344.3091,5.89945,1.978229,0.7556877
Table285,284,1237669516361269324,344.3142,5.898013,1.497464,2.485189
Table286,285,1237669516361269342,344.3692,5.786407,1.811194,0.5625629
Table287,286,1237669516361269343,344.3712,5.784343,0.8054717,1.540882
Table288,287,1237654187634196576,172.7209,-0.964922,4.070584,1.083179
Table289,288,1237654187634196579,172.7053,-0.9884076,2.969852,5.160576
Table290,289,1237654187634196580,172.7071,-1.023609,4.137365,0.6501064
Table291,290,1237671066844463210,22.26659,38.21476,1.495245,0.6463089
Table292,291,1237660750333018275,66.28691,22.77148,2.970274,-0.6895695
