z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48,z49,z50,z51,z52,z53,z54,z55,z56,z57,z58,z59,z60,z61,z62,z63
0.140569,-0.36104298,-0.025241673,-0.21996668,0.4340642,0.37018102,-0.0447272,-0.13855346,0.5706875,0.3858106,0.19669446,-0.53446645,-0.14947978,-0.6179327,0.31439075,0.07224621,-0.37636998,-0.13701883,0.2545655,-0.13620372,-0.1377736,0.1099882,0.06683942,-0.22105728,-0.5753235,0.007989682,-0.57731926,0.1516723,0.41268867,0.23340932,0.14719862,-0.47667894,0.071876794,-0.24409176,-0.10928781,-0.012831628,-0.30395097,-0.45785168,0.070972994,-0.19805099,-0.33518752,-0.0270174,-0.052472576,-0.017285764,0.24306889,-0.40961277,0.24880987,0.25945508,-0.09181349,-0.27208528,-0.31394294,-0.011576802,0.070456415,0.27620113,0.13696015,0.072950125,0.67394936,0.10501831,-0.12941684,0.15805599,-0.19706076,0.0015276968,-0.029359605,-0.17395827
-0.041644946,-0.118715376,-0.14820084,-0.11132795,0.029150002,0.12573567,0.17886022,0.040969525,0.21115544,0.03617337,0.12454327,-0.12818994,-0.12418756,0.002856575,-0.23413104,-0.13832518,-0.05020953,-0.08934052,0.13882865,-0.06768661,0.18472774,-0.24030039,-0.10180017,-0.06860425,0.13300478,0.037969142,-0.06840634,0.13903871,0.17651008,-0.012387162,0.20710985,-0.09293415,-0.1020523,-0.026359532,0.07561629,-0.046119113,0.01721081,-0.075985946,0.04649553,-0.0055635935,0.06032268,-0.012723327,-0.04428154,0.062027495,-0.18742281,0.022162966,0.033814017,0.023852278,-0.12331512,-0.025655856,-0.04853588,-0.08415603,0.069711424,-0.041968264,0.14862446,-0.050486892,0.14078212,0.0017339587,-0.04230629,0.11839257,-0.067725174,0.06560274,0.022950716,-0.045627292
-0.052513495,-1.0150163,0.034903765,-0.45468152,1.0429608,0.7267709,-0.15183528,-0.5600424,1.0911974,0.8465545,0.52444667,-0.9889367,-0.25557086,-1.1300324,0.75632846,-0.31667897,-0.6038961,-0.46599662,0.4394544,-0.25297442,-0.37562904,0.21311784,-0.066183954,-0.15479866,-1.4047915,0.40691438,-1.592585,-0.1053553,0.65029556,0.20759873,0.47080573,-0.5526585,0.35666797,-0.80763054,-0.20350382,0.11145574,-0.3482909,-1.0063354,-0.17667334,-0.55711985,-0.90457165,0.08857027,0.09782942,0.07558119,0.64160395,-1.2321838,0.6312197,0.7477139,-0.4456321,-0.6555752,-0.7763327,-0.09963375,-0.11019321,0.4837814,0.31622174,0.06093508,1.9128561,0.08181117,0.24051468,0.5299845,-0.31394437,-0.31514764,-0.371099,-0.67338526
0.11614866,-0.2809512,-0.055596404,-0.100303054,0.036488228,0.15184276,0.18129446,-0.07276513,0.19814517,0.027874865,-0.03705603,-0.26514718,-0.08836045,-0.10078923,-0.034587044,0.1565246,-0.16730267,0.05054293,0.10353312,-0.025712049,0.003899224,-0.104399174,-0.086871415,-0.040512327,-0.2014181,0.03851703,-0.13876088,0.103977695,0.19105229,0.06875017,0.009004556,-0.18290381,-0.033378255,0.038227104,0.09185262,-0.19051975,-0.14851741,-0.010786209,0.12355436,0.062455393,-0.0140968785,-0.023646504,-0.060129814,0.14322497,0.105526075,-0.056753602,0.022369128,-0.17204003,0.084134705,-0.016365236,0.112471834,0.029014215,0.046300665,-0.038870573,-0.0970539,-0.24587017,0.09954326,0.22253269,0.08595848,0.15010558,-0.09721934,0.1585758,0.121638365,0.036754176
0.07255225,0.0820848,-0.1186866,0.14753106,-0.12422365,0.01323751,0.4268419,0.14674187,-0.03437774,0.025736947,-0.048061136,0.07408075,0.18504706,0.21876866,-0.15114656,0.09784935,0.0024213865,-0.007954773,0.1379954,-0.37428117,0.58757186,-0.18530768,0.043089513,0.31268936,0.41813776,0.16753753,0.14999148,-0.0001467485,-0.09003683,-0.047267504,0.21585223,0.0324049,0.015736686,-0.039075352,0.019291218,-0.093213126,0.2885454,-0.0050656516,-0.25041193,0.06188005,0.08660901,0.06364161,0.21335511,-0.052537207,-0.23314787,0.25460407,-0.2186791,0.09458981,-0.046915077,0.0024262462,0.12199368,-0.057931982,-0.13501501,-0.1972429,0.22355548,0.05031009,-0.13288306,0.025054194,-0.32216793,0.012582371,0.13055028,0.08731904,-0.18285151,-0.1258978
-0.08923474,-0.014343836,-0.092820436,-0.0749329,0.03219735,0.08952229,0.0055918843,-0.09498374,0.025370408,0.05550391,0.08450163,-0.21612948,-0.1251748,-0.03226137,-0.044634677,-0.040653456,-0.08507885,0.011848085,0.14743206,0.026295098,0.12827007,-0.09119044,-0.053608317,0.05681043,-0.08152113,0.049458206,-0.1093361,0.063389525,0.14413053,-0.07003677,-0.03458929,-0.13416055,0.017181933,0.00035014004,0.21232826,-0.033356193,0.07597306,-0.019784937,-0.010292806,0.0024931617,0.08616583,0.013540534,-0.078991994,0.14487006,-0.066446476,-0.026184194,0.02044947,0.048453897,0.04303433,-0.004979305,0.02671244,-0.05478498,0.13450974,-0.13650036,0.028901093,-0.08198138,0.06206031,0.05394934,0.050183196,0.22065575,0.02953174,0.064681396,0.062670864,-0.06199061
0.09781354,0.08420234,-0.18013822,0.050848052,-0.13030922,-0.03882929,0.3240602,0.19132978,-0.10143136,-0.034461305,-0.033216547,0.055145293,0.2492256,0.1569266,-0.22066389,-0.02466938,-0.07774511,0.023197055,0.17406479,-0.3020695,0.6069091,-0.20127776,-0.017939959,0.3284129,0.38099775,0.0748117,0.108054385,0.030951269,-0.044178933,0.03184315,0.16019079,0.043096684,0.026308874,-0.07436278,0.050618336,0.13424194,0.2441575,0.067940146,-0.2589978,0.067773476,0.22946589,0.046332646,0.18001199,-0.031293415,-0.2553144,0.23286775,-0.23362726,0.13503407,-0.060276195,0.050377205,0.070858076,-0.10161076,-0.12658435,-0.19337946,0.13527481,0.052814323,-0.17413783,0.01580102,-0.19852906,-0.018664412,0.04251635,0.04505953,-0.27051732,-0.13622794
0.16686814,-0.24268651,-0.06739858,0.11469001,-0.009394754,0.0051698424,0.20815039,0.023863314,-0.05543547,0.06742026,-0.08720738,0.042113103,0.08446528,0.08857331,-0.15537885,0.10172581,-0.09740996,0.09236122,0.16581544,-0.12279399,0.24838379,-0.115786925,-0.03246527,0.047970958,0.10868467,0.14116254,0.02400481,0.14762905,-0.010955952,0.0030756965,0.1562936,0.05884941,-0.011859471,0.0038924664,0.06201099,-0.056611553,0.072113834,0.0076719793,-0.021704305,0.20459792,0.0624991,-0.13786896,0.109122165,0.07728696,-0.15452267,0.147437,-0.003774912,-0.043038797,0.05370929,0.15969971,0.093533225,0.025181137,0.050517127,-0.085897066,-0.009673052,-0.16777909,-0.040556505,0.09984528,0.017197328,0.17167276,0.029555673,0.22080079,0.06351701,0.12399216
0.28680003,0.03783682,-0.29686537,0.0060486346,-0.2444812,-0.03605562,0.4185481,0.2587487,-0.02360028,0.0013459511,-0.09699906,0.060368985,0.29286045,0.17155349,-0.30032387,-0.017809786,-0.06567963,-0.124282025,0.19506057,-0.18602607,0.6574454,-0.33582538,-0.16948594,0.34241897,0.43171313,0.18595962,0.13584255,0.18895435,0.013812058,0.10530175,0.15797475,0.05261779,0.0024781171,0.018051885,0.2697516,0.0120672565,0.19237676,0.08424218,-0.14263967,0.39165786,0.29084778,0.00090305693,0.17450024,-0.058308743,-0.33130252,0.21403152,-0.13667801,0.0025005024,-0.13260184,0.15026155,0.16022497,-0.0665552,-0.028836679,-0.3016639,0.06666988,-0.057244703,-0.38855863,-0.027939647,-0.25483254,0.018427044,0.20601471,0.18681593,-0.16005561,-0.12694743
0.041807756,-0.0470315,0.020234874,0.023206018,0.014302369,0.05993196,0.11576758,0.020560965,-0.059290364,0.009486958,-0.027245611,0.04243099,0.048741613,0.070512325,-0.1931836,0.104291044,-0.12541293,-0.00157227,0.103186205,-0.19791284,0.257365,-0.116393104,0.038208853,0.09972058,0.19882259,0.06455817,0.084585175,0.041464306,0.049162224,-0.056166224,0.11431997,0.02936253,0.013938928,-0.068759315,0.058913946,0.0038026273,0.17236859,-0.07413495,-0.027464267,0.08385348,-0.048475407,-0.04534956,0.13897826,-0.023216112,-0.16716465,0.16302025,-0.10167116,0.09233752,0.0126371,0.06773777,0.08108166,0.020203765,0.090390794,0.040987313,0.13268037,-0.028367102,0.032738913,-0.010155592,-0.08045387,0.04929599,0.035798885,0.1283249,-0.10758806,0.011222273
0.05052024,-1.0724076,0.031933367,-0.37259632,0.9583798,0.6874112,-0.2609795,-0.5290545,1.0358768,0.9554813,0.41481924,-0.8650005,-0.21546277,-1.1911879,0.71527505,-0.19122438,-0.5510366,-0.4854338,0.44660932,-0.20631042,-0.46353498,0.16130637,-0.03693928,-0.12540573,-1.3899099,0.28568488,-1.5569149,-0.11514935,0.72062576,0.2699738,0.46989295,-0.38631588,0.4184153,-0.78301966,-0.08538124,0.05481889,-0.4039397,-0.9432102,-0.04928784,-0.58335483,-0.82691604,0.11093199,0.19614705,0.16941147,0.76230145,-1.2260814,0.6691271,0.7311213,-0.45219457,-0.56490266,-0.7903123,-0.031033874,-0.088616185,0.44779152,0.25336614,0.14475806,1.7828953,0.16142955,0.18519114,0.44563335,-0.4527216,-0.26538873,-0.27296293,-0.6053214
-0.0012681037,-0.3255042,-0.18356717,-0.19247152,0.083355166,0.16727217,0.054555,-0.18665993,0.30812562,0.062762424,0.055774778,-0.31965995,-0.20883292,-0.1943861,0.011628835,0.059825502,-0.27634382,0.04557979,0.17190686,-0.0007278919,-0.11830953,-0.009111602,-0.055705182,-0.1952677,-0.2865466,0.058097854,-0.23878762,0.09109858,0.26256216,0.09460428,0.00025224686,-0.39322618,0.013086792,-0.062117968,2.2798777e-05,-0.07641515,-0.19425178,-0.09479239,0.09804644,-0.0053147636,-0.12038428,-0.10437077,-0.12514009,0.13974248,0.0993135,-0.25296962,0.20411351,-0.0043475293,0.030266784,-0.086436644,0.029323589,0.03735181,0.15776882,-0.016714267,-0.06718674,-0.17729895,0.27718243,0.2679743,0.1974854,0.25208256,-0.0014214925,-0.031396396,0.10592614,-0.10108395
0.37815952,-0.20562646,-0.1761275,0.07830617,-0.089873694,-0.06677888,0.3525892,0.1237552,-0.029125765,0.07509941,-0.18802008,0.08232448,0.13346578,0.14528228,-0.2734732,0.17571893,0.0036133528,0.01858976,0.2691849,-0.087937355,0.5219716,-0.2848339,-0.12232107,0.1771075,0.29297775,0.24569246,0.052084293,0.1811961,-0.0363229,0.12491466,0.25369292,0.10058582,-0.060452707,0.033066675,0.25067136,-0.10724617,0.048445117,0.116220154,-0.011766847,0.41036397,0.2233471,-0.11166647,0.11822951,0.010889521,-0.35229376,0.16837111,-0.046080284,-0.0833514,-0.052895267,0.25104544,0.11581265,-0.033880416,0.14028408,-0.29297358,0.008799151,-0.19606128,-0.2563676,0.08243993,-0.13508603,0.16458136,0.18990275,0.23127776,-0.0078023523,0.025827978
0.20413443,-0.088213414,-0.07828806,0.13820326,-0.0030508628,0.06863395,0.24072865,0.13143511,-0.028456219,0.087461025,-0.13603038,0.029295094,0.13520068,0.14218622,-0.13495542,0.1523312,-0.07944926,0.04597974,0.23254895,-0.18858323,0.4061618,-0.07449362,0.052685734,0.120338306,0.24887949,0.14784937,0.08562643,0.058096614,-0.06005016,-0.01408346,0.13241473,-0.015319958,-0.065335855,-0.07098316,0.09688834,-0.033292096,0.15767846,0.0029399022,-0.13304609,0.14400955,0.08095664,-0.04843502,0.11762497,-0.043640316,-0.27481025,0.13965994,-0.1282813,-0.006998337,0.006731085,0.14763966,0.06285417,-0.013386879,-0.017286247,-0.16853549,0.06916593,-0.067528024,-0.1416184,0.018608449,-0.2555629,0.024475135,0.120473616,0.16206175,-0.08453021,-0.0037970971
-0.19058049,-0.082044385,-0.24568416,-0.020823725,-0.06106089,0.07343963,0.21444444,-0.06748119,0.20124435,-0.017646112,0.17924976,-0.084063135,-0.030257843,-0.046504736,-0.018434677,0.03706497,-0.106066085,0.05490324,0.055429023,-0.17747599,0.31452844,-0.208304,-0.043779142,0.10729731,0.15357602,0.1111706,-0.050854143,-0.05557444,0.16315234,-0.15685886,0.11566982,-0.118679516,-0.17090422,-0.09480691,-0.0576415,-0.09640553,0.1317551,-0.2076709,-0.20167135,-0.07341959,0.03834434,0.12473442,0.02597998,-0.06336539,-0.029148191,0.036970515,-0.119194284,0.18173231,-0.06538273,-0.1792412,-0.052266248,-0.056232978,0.0010629855,-0.13319318,0.19607218,0.025915887,0.19854113,-0.13946187,-0.17578469,-0.04405452,-0.023968609,0.03513331,-0.034721427,-0.13378406
-0.022363193,-0.04634043,0.031319458,0.010987863,0.0907014,0.07432731,0.080384575,0.09113367,-0.015648743,0.02033667,0.031558596,-0.03466446,0.05140342,0.074409336,-0.07550116,0.07784391,-0.15167686,0.13176258,0.16255507,-0.20432629,0.23877959,-0.116429344,0.14905939,0.07035051,0.09832956,0.013760019,0.024053954,0.026100336,-0.03633339,-0.1159368,0.14207931,0.01472573,-0.083375774,-0.12747255,-0.019968651,-0.0026909374,0.15909593,-0.16471116,-0.042112652,-0.052108765,-0.08996081,-0.0062570376,0.092705086,-0.025665078,-0.15516293,0.11936885,-0.12527202,0.066840716,0.061333463,0.03472842,0.10309402,0.09557955,0.0739177,0.07421835,0.11389214,0.061406776,0.12189364,0.061383266,-0.11181865,0.050447922,-0.0062043723,0.059658978,-0.14934498,0.092491545
0.07732487,-0.17291807,-0.114204094,0.06575619,0.0006462429,-0.03076242,0.17521064,-0.04741028,-0.08994483,0.046600647,-0.06688099,0.06816985,0.09720488,0.0518336,-0.16482756,0.06302867,-0.044330142,0.08677369,0.09129336,-0.06837629,0.26176238,-0.08549149,-0.027726186,0.1135206,0.10547495,0.16909221,0.025639057,0.06943573,0.04280866,-0.0230452,0.15627667,0.061451346,0.000603579,-0.02640177,0.04897918,-0.0326076,0.1221205,0.004489109,-0.008828035,0.13451542,0.034998074,-0.11201902,0.13009855,0.08286457,-0.10364345,0.18798123,-0.07389753,0.08384134,0.068357766,0.08917124,0.07543774,-0.01663303,0.08174064,-0.09185825,0.03837667,-0.049912635,0.0070320694,0.082865074,0.00021303445,0.1414802,0.019478824,0.12229596,0.0021810494,0.05860676
-0.085445836,-0.17068155,-0.20347196,-0.35592866,0.0001046136,0.32185996,0.22820789,-0.017060503,0.32960996,0.061472375,0.14261879,-0.39415652,-0.15174359,-0.13771342,-0.16204838,-0.01946263,-0.15898629,-0.049875896,-0.03383728,0.042145647,0.03461578,-0.28456295,-0.36019844,0.09687964,-0.17845657,0.033579007,-0.19763774,0.07012577,0.33923262,0.078509584,-0.08670582,-0.37551987,-0.03191816,0.053810176,0.31393278,-0.18699598,-0.19660269,-0.16109917,0.17712604,0.12654877,0.030195363,0.008096755,-0.14119667,0.22019279,0.03165695,-0.19594719,0.15040308,-0.1705749,-0.02087549,-0.005020099,-0.015416943,-0.011639476,0.05614662,-0.09090638,-0.049261082,-0.25398296,0.03479772,0.15702185,0.102021195,0.09613034,-0.13543208,0.15800667,0.12848641,-0.1584351
