z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48,z49,z50,z51,z52,z53,z54,z55,z56,z57,z58,z59,z60,z61,z62,z63
-3.6301155,-2.8404055,-0.562028,0.9740385,-2.591611,-1.7625439,0.2444157,1.7622044,-0.5734422,-5.857502,1.4945095,0.88161343,-1.0856783,-2.3015068,0.51951814,-3.033608,3.4960747,1.4288709,-0.31769395,2.4623303,-3.6587048,-0.8207338,2.6149533,-0.47348505,-0.416284,2.658155,-0.03323677,1.7293844,-2.2637842,2.2831655,-0.056203842,-3.6393719,1.9619832,-1.721262,1.5607284,3.2418587,0.65436083,-4.5842915,0.8437188,-1.394939,-1.8887587,2.9617991,-2.3474581,-0.92553514,-0.07374978,-3.3206897,1.9637272,4.054321,0.7733024,5.245749,0.20570312,2.2418675,-2.5551124,1.6975057,-2.7052777,-5.1613054,-0.55397075,4.2156916,1.9373989,3.2688608,-0.024792254,0.30235827,-1.8035407,2.213994
-4.206162,-3.9646125,1.8194095,1.5954559,2.2473004,-1.0990915,-1.4077684,2.844077,-0.6847436,-5.6045475,1.3695643,0.84485424,-0.7318619,-1.2962573,1.0041502,-3.9241436,3.2825112,2.1800287,4.2515388,-1.1803019,-4.0557017,-2.5492578,1.7551459,1.4177879,-0.9484572,3.1478095,4.9662457,1.1466188,-4.9934006,3.3149502,-0.26615626,-1.6191614,1.0809172,-4.397606,2.2479916,2.883069,0.20217448,-4.019624,2.8128524,-1.8611895,-2.7248502,3.726007,-2.1805599,-1.4581196,0.3786047,-0.8662249,1.9829658,5.985773,0.5089488,4.6200705,0.7759236,0.4842453,-1.5752107,1.555281,-4.6107783,-2.8145423,-1.9521803,2.2894864,1.5490648,2.8493037,-2.1901605,2.5866554,0.24794212,-2.549662
-0.93084013,-3.493589,-0.32114375,-0.23103917,5.891576,0.3029334,0.80792344,-2.578032,-1.3456836,0.77897906,0.0114940405,-1.1564469,1.3253506,-0.910091,-0.62551343,-2.303268,-1.1679872,2.7513266,4.9039097,-2.6992176,0.39402652,-2.1720228,-0.25291327,-0.8949455,-3.436053,-0.7770538,2.0843773,-0.7435899,-1.1194981,3.2011538,-3.311997,1.0387628,0.1870611,-0.30102706,0.919426,0.5538974,0.6637364,3.066525,0.23728058,2.4415793,2.6582184,1.338729,2.4839654,0.1284405,1.4254882,-4.5863667,-2.650772,-0.52789056,-4.025972,-4.345847,-3.2442322,-2.827172,0.9222332,1.7781166,-1.3511425,2.8203135,1.2245878,-2.0782607,2.4740899,2.1094086,-3.2327957,4.244837,-0.24763554,-3.6730902
-0.1040945,-2.3251505,-0.7367207,4.6232743,4.104798,1.2309645,4.98808,-2.7616665,-4.548706,-3.4851894,-0.88203347,3.4409883,6.8884163,-2.2765193,-7.714135,1.9887412,4.5245085,-4.731642,-2.0900187,0.31587547,4.805725,-1.1637273,-4.788749,4.205865,-4.9232407,-6.477139,-4.7626977,-1.6078708,1.944881,1.9964206,2.341697,-4.574633,-2.9770055,-0.32454604,-0.2669205,-0.9796547,2.018422,4.0394726,-7.232037,-1.8967191,3.299028,-0.374177,-2.397971,3.3367882,0.40932834,-0.87552434,1.7205379,1.7410064,0.3134396,-1.4309449,1.7925942,2.4572096,0.94771075,0.7940349,-2.0116022,1.1676316,3.6405485,4.917045,0.6680815,1.5205595,-1.3336632,0.7049286,1.3844907,4.021251
-2.9953408,-3.8504925,-3.7850962,-0.04692,1.3252351,-3.2961137,-0.3299814,-2.5188012,-1.964397,-3.137162,-0.072687626,-0.8767273,-1.2953081,-3.066216,-2.8853388,-1.4383059,3.3546817,2.1384048,3.618703,0.5239806,-3.1751344,-2.377955,4.553649,-1.832161,-0.081783235,1.0408278,-0.030557945,0.7727207,0.90733874,4.9950466,-4.3877163,0.3645764,2.3586307,-1.5310695,-0.22979696,2.431068,-0.14123252,-0.78472626,0.8617956,2.4135706,0.62573934,3.2461824,2.1186252,-0.5315827,0.44539058,-4.285182,-1.0999295,1.4426239,-1.8730178,1.8168073,-1.7791648,1.0021763,-0.2915194,1.5824163,-0.9597571,-2.0992215,0.38809288,2.216906,3.1509683,1.1189532,0.019640923,1.7333252,-2.1632402,-1.2169232
0.2601452,0.24353111,2.9095995,-2.6256905,-1.4483085,4.6304016,-2.5668745,2.7741318,2.003469,-3.2307549,3.3425856,1.6033604,0.13611096,-0.40181518,4.0042048,-2.4816952,0.1986666,1.1552849,2.3431149,-4.727834,-1.4255445,-0.9036749,-2.2214203,-2.2058315,1.1861361,0.67739856,4.299759,-0.122178674,-5.101879,-0.8963337,-0.36985695,-0.5628533,0.5868192,-0.6097258,0.8373684,1.5551926,-2.9994283,-3.1649098,2.7228184,-1.7169433,-5.106416,1.6518121,-2.434223,-4.0157247,-0.17731702,-1.5625252,-0.8036171,3.2704601,0.55115324,1.9636948,-0.4928591,0.5556226,-4.235669,-0.37386924,-3.8631907,1.2369297,-2.6834505,-1.2608846,0.72116375,3.0157614,-1.3382384,1.3789266,1.3516765,-2.5409186
-3.1811352,-1.2400806,-1.0702763,-0.7634144,-3.1689134,0.2269727,-0.9554355,0.014352083,-1.1006699,-5.209706,3.1114674,1.5590556,-1.6061287,-1.8413789,0.5600165,-2.47418,3.1278744,1.7148734,2.1796892,-1.1759471,-3.4760745,-1.6492546,2.3064868,-3.4623897,1.7564598,1.8831288,1.7144504,1.3336948,-1.1047572,2.196877,-3.1781583,0.21596396,1.9374875,-1.3050064,0.12968776,3.7511806,-1.7705463,-4.0934553,2.3978264,-0.9764559,-4.88968,3.1430507,-1.1642305,-3.6186373,-1.6480744,-2.5564442,-0.28510028,4.0737424,0.8827131,5.522586,0.66138303,2.033216,-3.744906,-0.26498508,-3.5143468,-3.157115,-1.1717764,2.498811,2.7536614,2.454443,1.6194402,-0.014045373,-1.3007149,-0.8793032
-0.7014554,1.0064623,-0.08208859,-2.0620341,-3.5730844,3.153669,-0.82608545,-0.33179379,-0.38344312,-2.7316463,3.540842,1.6467941,-0.6282879,-0.24298123,1.6806929,-1.5085196,0.6832595,0.770433,1.0172408,-2.92788,-1.5431238,-0.57301795,-0.19058889,-3.9827063,2.043446,0.363252,1.8190227,0.66674024,-1.4674667,-0.73730135,-2.344111,1.1034,1.0229552,0.14652209,-0.23290157,2.3257513,-2.6001573,-2.6578453,1.7614018,-1.0472138,-5.001196,1.3743513,-0.5518898,-4.018691,-1.6740035,-1.5555665,-1.4620378,2.2150218,1.0985885,2.6160588,0.29014513,1.1362354,-3.8167367,-1.2553749,-2.7977471,-0.059144735,-1.1498237,0.29207006,1.6237919,2.3859103,1.526286,-0.2552257,-0.030770838,-1.2713144
0.07347366,-1.8824078,0.10299915,5.163101,4.5450783,1.5516555,4.142906,-3.2435129,-4.821331,-1.9216549,-0.8000115,3.6449437,5.8856907,-1.5399852,-7.4494405,2.2136424,3.3001199,-4.9724617,-0.58972204,-1.7423079,4.86229,-1.5284519,-4.6310387,4.489051,-4.2962656,-6.145503,-3.3382587,-1.4190869,2.333723,1.3877847,2.3668818,-2.5141425,-3.0083022,-1.4248164,-0.74629676,-0.7726211,0.8878186,5.074631,-5.914936,-2.3853538,2.2450945,-0.4264258,-1.3672813,2.8623896,-0.31229597,0.32852072,1.1882061,1.4686356,0.5240103,-1.7663609,2.5581212,1.4042561,1.1035461,-0.56463283,-2.04681,2.1014528,3.024217,3.9963825,0.34184283,0.9281652,-1.5447466,0.306771,2.1510448,2.4926186
0.59355533,-2.1719036,-0.7762072,3.4435308,3.5466454,1.2499417,5.5178957,-2.1307414,-3.383813,-3.9178061,-1.1114134,3.4893382,7.5515375,-2.8505044,-7.408002,1.5697615,4.9687443,-4.164303,-3.265399,1.3509364,5.0264316,-0.9893725,-5.6091595,3.3666914,-4.5895405,-7.120983,-6.1646595,-1.8737925,1.1929643,1.5890247,1.9923913,-5.661814,-3.4259644,1.1145782,-0.8120941,-1.5299895,2.5693073,3.4131427,-8.1008415,-1.592155,3.8596692,-0.3325601,-3.1498256,3.5547278,1.1337049,-2.4471521,1.6748208,1.48578,0.09619999,-1.8031155,0.64403427,2.9628594,0.52415955,1.6707598,-1.7531083,1.5168705,3.9081104,4.328702,0.74073803,1.9569073,-1.7362704,0.5542417,0.9941925,4.6478586
1.8026297,0.66634,0.5328239,-2.9660578,0.99970055,0.36084038,3.1107693,-0.20959425,3.3651624,-1.5832124,-1.0646133,2.613348,4.2168856,-1.5675031,-2.2100947,-1.1484513,1.9671818,-0.009732902,-3.0505106,2.0378225,3.3306227,-0.57005155,-4.768259,-1.0341421,-0.56774586,-5.638399,-4.8064055,-0.5573535,-2.2283788,-1.2774112,-0.30405414,-3.233777,-3.0871732,3.930706,-2.259822,-2.471836,1.6275257,0.5454645,-4.6207104,0.4103522,3.1995547,1.1126359,-3.8255134,1.0550251,2.7595558,-6.1744833,-1.6018765,-0.74236935,0.28200883,-2.246151,-3.2378678,1.0953841,-0.5388051,2.6122584,0.102081776,3.0706675,1.3022535,-1.7423266,0.323008,1.6178577,-2.8984954,-0.1964691,0.56644934,2.2617357
