z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31
-1.4455848,4.923117,-1.0990607,1.6631885,3.2744155,-0.20899451,2.625579,1.8410118,-1.4709251,0.1184839,-3.8981185,-0.5304024,3.9803967,-0.16654575,-1.0264893,1.6708589,3.4323397,1.8082923,-2.638506,-12.3819475,-1.9822206,3.574047,-0.121885896,2.2409136,2.680472,-3.9238162,-1.1486549,0.56779563,3.671121,1.4471917,-0.9347408,-0.43663168
-0.9676987,1.9383037,-4.186104,4.690646,-0.3823328,0.85698175,-4.34548,-5.627087,1.6041635,-2.0964615,-1.1928883,-0.27142227,2.4149299,-3.9894595,0.14182675,1.3281798,0.39757514,1.1110778,-4.3178377,0.9779041,-4.547557,1.0664505,0.5841998,0.4393326,-3.7746572,-2.6367981,-3.8943744,-0.9190403,4.3337507,0.9491955,0.3515092,-2.0826526
0.91432744,-2.4611008,-0.009212196,1.1738633,-1.2106717,0.5342669,1.3867083,0.28468275,-0.15105134,3.2352505,-1.0788164,0.6974863,-0.46556783,-1.0390141,-0.63838136,2.8511703,-0.7202729,1.2254858,1.9299753,-3.3255568,-2.900938,4.816779,-0.31644794,3.9727437,-2.4275064,0.9547283,2.966066,-3.7194815,-5.2272487,-2.2896957,4.626896,2.5678782
-0.66373414,1.2269706,-1.6372217,5.07633,1.1740882,1.3101865,-4.5342383,-3.0480828,2.5013065,0.029009044,-0.20287395,-1.1185181,1.4089435,-5.1721134,-1.8399904,1.1885401,-0.1827544,2.5194652,-3.8732767,2.3639784,-7.588763,-2.0356183,-0.98834646,0.6841333,-5.882739,-1.1585253,-3.0342531,-2.1656175,2.4652598,2.3806155,1.8912667,-3.2697253
0.27700955,0.1376287,-1.8121507,2.829218,-1.8465686,0.13688096,-2.1575627,-3.5545018,0.6330783,-0.8924015,-1.50566,-0.03547132,2.2829707,-0.62077653,1.2812388,2.5146055,-1.0069222,-0.92343444,0.6902807,-1.3823167,-1.287178,5.4892807,1.234108,1.3758835,-2.5058105,-2.8164098,-1.7937367,-3.2387624,0.8063661,-2.7586498,2.2383788,1.5208687
-2.2372396,-3.108941,-0.056516655,-6.0745106,-0.25118548,-2.8527749,1.5891316,4.152776,-1.3724458,-0.12788787,-1.1947445,7.2069855,-3.2360873,2.6157618,-0.45070714,0.4641161,-1.7056131,-3.0720954,2.5802913,-0.8969108,5.1818843,-3.870116,1.1758218,-0.93909335,12.507828,-0.778571,0.9171711,0.8448447,-4.135144,-0.29052353,-2.4717731,3.7132735
2.6088624,0.6115824,0.40591532,-1.4193141,-0.45826143,-0.79418683,6.5792627,2.8159282,-1.8281181,0.32123548,1.7040714,1.8172241,-0.6420995,0.7304305,-2.8582008,-1.6489592,0.27442986,4.7056494,-1.1649321,-8.119689,-1.0517989,0.44270217,-2.3950171,2.994648,4.503769,3.756034,1.8384413,0.83475643,-4.1816597,-0.9766104,-0.43952903,0.74756867
0.30400687,-1.8572747,1.7188067,3.5976386,1.0562716,0.6715378,-0.64943856,0.5732614,1.1920772,3.5918267,1.0373142,-0.84544575,-0.9490222,-3.6451461,-2.1306808,1.4739802,-1.4820104,2.899201,-0.30746704,0.3641972,-6.8465757,-0.75976545,-2.1735117,2.8706439,-5.4583774,1.4887643,1.0735579,-3.9088645,-4.441152,1.2814999e-06,4.3251524,-0.3791404
2.03483,-1.2314878,-1.6317098,3.994283,-2.996189,0.62911695,-2.4370728,-3.5222988,0.7268655,-0.6838254,3.1615849,0.2798843,-0.17445602,-2.8766303,0.13573086,0.41980565,-2.9871864,1.579179,-0.9404094,3.39295,-2.6281657,1.4444661,-1.5808998,2.3236694,-3.5492282,0.93006027,-2.1811748,-1.3782762,-2.993499,-2.7189934,2.060255,0.7847628
-0.17431802,-1.8065941,-3.7880006,1.237273,0.8591547,1.4629451,-2.6231892,-6.4582133,5.32553,-5.567829,-2.8844123,5.678503,2.3291416,-1.2981561,0.21122521,0.41619688,4.721031,-1.8150791,-4.965369,4.9879723,-0.79835176,-4.680208,2.527431,-3.7824032,-1.8505685,-0.08316253,-5.4382067,0.12668002,4.5871067,-1.3964591,-3.396575,-3.5843627
1.5114912,-0.2832098,-3.5770974,1.9608502,-3.791036,-0.045413256,-1.2894137,-5.056312,-0.8554173,-2.6810267,-0.6269951,1.0390588,2.8685215,0.5149508,3.0192873,1.9478366,-0.95879066,-1.1023815,0.7196083,-3.1017902,1.4179492,8.563518,1.5725896,2.5976288,-0.5103504,-2.4905338,-2.543396,-2.2221942,-0.32950652,-4.0232663,1.8637407,3.3499837
-0.29062206,-1.3324583,-0.23726171,0.75312126,-1.3435384,0.9641847,-0.22308041,-0.6318772,0.3601344,2.0332808,-3.1832757,0.73410827,1.0736961,-0.50576544,-0.14278364,3.2921808,0.6654276,-0.6714731,2.0434222,-3.3845782,-2.538795,5.3192406,1.3303908,2.8239455,-2.689359,-0.84635204,2.1600132,-3.6720102,-2.0519748,-1.1485575,4.031321,1.7914426
-0.34884867,1.8768425,0.16651416,-0.85386306,0.8813696,2.0752175,3.7845724,2.8504846,-0.5304193,-0.033517778,3.1135378,-0.9844744,-1.4729189,-2.6461034,-3.5404794,-1.3843437,1.8933368,4.413692,-2.816583,-2.8449852,-6.955519,-5.8355885,-2.9289446,2.341812,3.184473,3.2788181,-0.26133704,2.6860304,-0.814041,6.863083,-0.076330215,-3.8103838
