z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48,z49,z50,z51,z52,z53,z54,z55,z56,z57,z58,z59,z60,z61,z62,z63
1.3849971,2.40243,-4.2959814,-1.6586208,3.3074238,-1.746062,-0.015536994,0.7162616,4.0825806,1.5486004,-0.4829486,1.1453502,2.5571558,3.296229,-2.3734415,-0.8386651,2.846675,3.6362665,2.219105,1.8231304,2.5879896,-5.029195,2.864434,1.6345327,-1.6815681,-0.38573706,4.2551847,-2.474666,-1.6001917,1.7853125,-0.35067207,0.07065396,-1.6835206,4.2261305,-2.3235054,-2.401772,0.5857146,0.45383248,-0.54552704,2.0015028,4.3505697,-1.9807725,-0.2244077,0.69718313,-0.96122444,-5.069302,4.683708,-0.8026676,1.8843963,-5.221215,2.065843,-4.783044,-2.1504745,-0.30527034,-2.5112183,-1.786873,-1.2994345,-1.9006145,3.7586021,3.1466124,1.5454416,2.230038,3.3854222,-2.2391706
6.228523,1.8514943,-5.693143,-5.861474,2.033642,-0.83050364,-1.3050449,-3.2416594,1.3126239,3.2497425,1.7638533,1.9554994,3.7524366,2.9011047,-1.7604537,2.4800425,3.2100892,4.2824264,4.0063353,-1.2155935,-0.866184,-4.526332,0.6810323,-2.72993,-0.8743254,-3.0165539,8.764499,-1.9127593,-2.1887157,3.7505531,0.8392983,2.166044,-3.0384893,0.53778154,-1.2661108,-6.0326853,1.591855,-3.8007183,0.8418837,4.4010816,2.4180117,-0.12125182,-1.2671435,4.710155,-0.62009865,-5.1138515,5.017415,0.57577515,2.5061328,-6.0628443,2.6290534,-4.502314,-3.1955156,1.599316,-2.7294164,-4.141091,-0.89167356,2.1874936,4.3207335,2.674792,5.083929,2.310122,8.088833,-5.032031
2.2225568,-1.915396,1.7585728,-0.97901046,-2.4920645,-1.2497714,-3.493891,-3.8277998,-1.1632899,-0.23003918,1.3242269,3.088315,-2.2334483,-1.2244277,0.2083234,4.1366725,0.3826465,-1.0305104,2.6938891,-2.6934922,-5.6430745,2.0699925,-1.5553389,-1.0861,-0.9560688,1.4148989,6.5262995,-0.33010834,-4.4640355,1.0263566,-0.69756955,2.6865778,-5.159624,-1.2976947,-1.1488317,-3.1257753,-1.1580733,0.2409432,1.7247529,2.6103554,-0.9113165,0.4247837,-0.3181917,5.0277977,2.8789585,-4.339763,-2.7436187,0.811895,0.718883,-1.6155914,-1.193687,2.3802502,1.2033871,3.326702,1.9205838,-3.7957788,-0.75367457,4.0819693,0.630603,-5.82071,4.880551,-3.0679786,-1.4154341,-3.686176
-3.8707485,-1.0499696,4.0941606,7.4648523,-3.4550028,-2.3248582,-3.3244066,-3.0059764,2.2226074,-2.3345833,3.138018,-1.4280831,-4.5837355,6.420933,0.9836135,2.6836,-0.7536998,-0.34791765,0.30299115,-0.7384434,-0.9944228,1.5261126,-0.66197824,5.7019644,4.909629,1.4187523,3.0722532,3.147661,-2.0254703,4.006248,-5.047772,5.2424784,-1.4621933,2.1146731,-1.16734,0.9072709,-2.4103732,5.748831,-0.33759564,0.1834282,5.248643,5.735816,0.91879874,1.3321398,-1.6120527,-3.9111085,2.7613814,-7.140535,-0.55968845,-3.3234153,0.91337264,-0.46528918,-2.6910672,-2.2353501,0.8352225,0.5700885,-4.4457874,-3.1164088,-2.0689154,-2.9878979,-6.353905,0.8313778,-2.642755,-2.904564
-0.00083720684,-0.18767229,2.329957,-0.06614879,3.2000737,-1.0500623,-1.7433139,-0.040842265,3.2963583,-0.43285584,-2.5015652,0.10908884,-2.0344322,-1.7013803,-0.9432204,0.16016173,4.0340443,1.532223,3.8236754,0.60135996,-1.950444,-3.1974845,-1.2123121,2.4984033,-0.47447205,0.16397488,3.6973717,-2.2443063,-1.2721982,1.4694396,2.3867292,-0.7437356,-4.6398163,-0.0837097,-3.8450842,-3.7999053,-1.046109,-0.5279382,-0.7048518,1.0540428,1.5399088,-1.693958,1.3780086,3.0305421,2.885082,-3.3482747,1.718694,0.258677,0.96838796,-2.6560075,-0.7503626,-1.2041408,-1.7451429,2.9749293,3.2234704,-7.08217,-3.9036872,-1.4763217,2.516496,-2.604296,3.0116134,-3.7474155,-0.20478585,-2.400891
5.9701257,-2.480066,-7.020653,-1.7541044,0.45978928,-0.7732879,3.758612,0.3774591,0.14554429,5.3144197,0.84782284,3.5008585,0.5010999,4.3795347,-4.0346994,3.0839732,-2.0248694,3.7854238,1.2836611,-1.9942117,-1.0249099,-1.3294894,0.7607187,-2.752967,-2.277865,-1.3499813,7.767564,-2.0068724,0.6762261,-0.3030733,-0.3970313,-0.45257244,-0.83637655,-1.4311466,1.2003027,-4.9518833,0.27800646,-0.36469027,1.0853634,3.7581875,2.7367287,-1.3511168,-4.9526143,2.8716264,3.7009044,-2.25112,3.5794158,2.6047502,-0.68356943,-1.4055915,-3.3378673,-3.6005523,-1.110475,2.0286212,-2.4137094,2.6372476,-0.16907048,4.6613626,1.5389044,2.781488,4.191141,-0.7611375,4.77114,-5.1099215
1.9320711,-0.51178133,-5.3359747,-0.85893464,4.3912783,-0.32764935,1.6367348,1.7222499,3.7918787,2.591103,-1.4061012,1.7592365,0.10916299,1.6681128,-2.771078,0.69080824,2.6591089,5.0239,2.3617167,-0.702884,-0.37745908,-4.5838327,1.143257,1.0108111,-1.6979495,-0.36608142,6.8191204,-4.071543,0.18831182,1.823609,1.0105997,-2.4219756,-1.8960005,0.4019019,-0.8919457,-4.194702,-1.3237331,-0.34336373,-0.970389,1.2576389,3.5646086,-2.5920477,-2.556317,1.7468171,2.3921568,-4.321779,5.2743006,0.96572524,-1.3187459,-2.6901684,-2.8205373,-4.5839906,-2.723051,3.0742807,-0.8430966,-2.5746906,-2.807049,0.51301074,2.2992435,2.3283193,3.5493083,-1.830631,2.7342508,-3.2098694
1.6216395,-1.8709776,-4.444831,0.4795267,2.1513596,-0.53576154,2.9463797,2.2356906,2.0452743,3.047513,-0.8151892,1.6281464,-0.8194026,2.4432385,-2.4566357,0.8014149,-0.29195976,3.0643415,0.7415402,-0.4121941,-0.046191268,-1.6708983,0.3572365,0.33393025,-1.4446721,-0.21595237,4.196813,-2.316012,1.3220782,-0.4479664,0.33579463,-1.8356435,-0.61863506,-0.7292717,0.10421491,-2.7990203,-0.8005301,0.4975441,-0.41851974,1.0318034,2.8828697,-1.6349714,-3.9874082,0.8814266,3.1880834,-1.8241115,3.4148886,2.1015363,-1.908073,-0.47848943,-3.5961459,-2.9566545,-1.4910507,2.0492725,-1.0889056,1.113725,-1.454344,1.9988022,0.7034322,1.7045054,2.0692058,-1.9558313,1.7209529,-2.902875
-2.8689737,-1.8453609,2.6725326,6.4684105,-3.2403672,-1.1756134,-1.8656371,-2.3702438,1.4735382,-1.5421073,2.8724568,-0.97070193,-4.23591,5.353987,0.94127584,2.7407608,-1.6010857,-0.22268909,-0.5497949,-1.5889828,-1.0879871,2.397526,-0.6026745,3.192288,3.941669,0.79823554,2.751608,2.6753263,-1.4628271,2.9550638,-3.9518175,4.143791,-0.28975028,1.0374463,-0.12733531,0.625665,-1.8133243,4.5529137,0.07316011,0.35934553,4.1903667,4.9072113,-0.065125346,1.115467,-0.85440993,-2.6640043,2.3316169,-5.4782987,-0.81219697,-2.0104313,0.21214196,0.24525326,-1.9673684,-1.8722414,0.7780591,1.5812316,-3.6783102,-1.4857787,-2.5272276,-2.6909385,-5.1610756,0.72378427,-2.0580115,-2.4510667
-3.4785993,-1.616981,3.4571507,7.901612,-4.3337526,-2.4563632,-3.0052633,-2.8721793,2.410224,-2.2037573,3.7945147,-1.3574221,-4.6236606,8.18054,0.25669318,3.302901,-1.9708307,-0.16314211,0.17025128,-0.7528484,-0.8482517,2.332278,-0.31731176,6.3327227,4.685977,1.7026522,3.3887439,3.7217536,-2.7995045,3.7966075,-5.5828385,5.4747734,-1.1801717,3.379877,-2.030923,0.89887947,-1.6924098,6.399967,-0.57555234,1.1479058,6.2354455,5.887972,0.7186616,1.4434773,-1.6951804,-4.1394577,2.8424282,-7.599056,0.009612083,-3.8890672,1.22751,-0.9308547,-2.7195518,-2.9638858,0.56600976,1.4775437,-4.2886505,-2.5663326,-2.039483,-3.1381562,-6.4419017,1.4557643,-2.8907907,-3.086953
