run,tag,best_val,time_sec,latent_dim,lr,wd,batch_size,denoise_std,kmeans_counts,Z_mean,Z_std,val_last,epochs_ran
0,run0_ld16_lr0.0003_wd0.0001_bs64_dn0.0,0.24106599390506744,3.05,16,0.0003,0.0001,64,0.0,"[11, 5, 4, 8]",-0.08935964852571487,3.546637535095215,0.24248945713043213,76
4,run4_ld64_lr0.0003_wd0.0001_bs64_dn0.05,0.24622459709644318,1.82,64,0.0003,0.0001,64,0.05,"[10, 6, 6, 6]",-0.1372390240430832,2.527275562286377,0.25467681884765625,49
2,run2_ld64_lr0.0003_wd0.0001_bs64_dn0.0,0.29861322045326233,3.47,64,0.0003,0.0001,64,0.0,"[8, 4, 5, 11]",0.11579155921936035,2.9622979164123535,0.29861322045326233,100
1,run1_ld32_lr0.0003_wd0.0001_bs64_dn0.0,0.3347581923007965,2.61,32,0.0003,0.0001,64,0.0,"[6, 7, 8, 7]",-0.20443305373191833,2.8247218132019043,0.33501484990119934,74
3,run3_ld64_lr0.0001_wd0.0001_bs64_dn0.0,0.7172562479972839,0.43,64,0.0001,0.0001,64,0.0,"[9, 5, 8, 6]",-0.00010455452866153792,0.29790249466896057,0.7190065979957581,9
